VirusNumber,Sample,VirusDate,Used in neuts,p24 pg/mL,Avg RLU/mL,RLU/pg p24,Neut Dilution
1,WT,20-10-30,N,888963.9662,386334275,434.5893531,
2,P384L,20-10-30,Y,1085360.398,201050189.3,185.2381841,
3,F456K,20-10-30,Y,1302026.974,255864282.1,196.5122746,10
4,E484Q,20-10-30,Y,1022747.733,62943225,61.54325549,20
5,G485R,20-10-30,Y,760585.6298,260790692.9,342.8814359,32
6,S494P,20-10-30,Y,1051576.58,112223578.6,106.7193591,
7,G446V_F456V,20-10-30,N,768693.6737,44110571.43,57.38380962,
8,G446V_F456V_E484P,20-10-30,Y,814189.201,43498085.71,53.42503396,
9,WT,20-10-16,N,1787612.657,408385221.4,228.4528585,
10,F456V,20-10-16,Y,897522.4683,476737385.7,531.1704192,
11,E484P,20-10-16,Y,417342.3487,42285592.86,101.3211168,
12,WT,20-11-9,N,938513.482,391316557.1,416.953581,
13,G446V,20-11-9,Y,842567.5228,165018214.3,195.85162,25
14,E484P,20-11-9,Y,502477.4483,6174614.286,12.28834111,
15,F456V_E484P,20-11-9,N,656981.9504,31006178.57,47.19487126,
16,WT,20-12-5,N,750675.6863,190455642.9,253.7122839,
17,C432D,20-12-5,N,336261.2711,6658.333333,0.019801071,
18,E484K,20-12-5,Y,647972.9903,350800301.2,541.3810551,
19,WT,20-11-13,N,1681306.297,639567272.6,380.399023,
20,F456A,20-11-13,Y,906081.0375,42819372.62,47.25777369,6
21,F456A_E484P,20-11-13,N,1334459.485,83318871.43,62.4364189,
22,WT,20-09-20,Y,963288.2734,226137007.1,234.7552788,50
23,NoVEP,20-11-9,N,2837162.052,-4321.428571,-0.001523152,
